definition,id,part_of_speech,ruthes_name
,8127-N,N,ТЮРЕМНАЯ КАМЕРА
,129148-N,N,ТЮМЕНЦЫ
,143871-N,N,ФЛАМЕНКО
,119119-N,N,НЕСОКРУШИМЫЙ
,151709-N,N,ОБОГАТИТЬ (РАЗНООБРАЗИТЬ)
"парить, летать (лететь) плавно, без видимых усилий",114509-N,N,"ПАРИТЬ, РЕЯТЬ"
,114290-N,N,МУССОН
,154958-N,N,МЕДАЛИСТ (ВЫПУСКНИК)
,115211-N,N,ОБЛИТЬ ГРЯЗЬЮ
,134830-N,N,ДОМИНИКАНЕЦ (МОНАХ)
"увеличиться в размерах; перемещаясь, занять или охватить более широкое пространство",119125-N,N,"РАСПРОСТРАНИТЬСЯ, ПОЛУЧИТЬ РАСПРОСТРАНЕНИЕ"
,101872-N,N,ЧЕРВОНОГРАД
,149739-N,N,ТЕЛЕЖКА
"учебный час, занятие по определённому предмету.",123780-N,N,ШКОЛЬНЫЙ УРОК
,143954-N,N,КИНОПРЕМИЯ
,144850-N,N,СЧЕТ НА ОПЛАТУ
"способность попадать в цель при стрельбе, бросании и т. п.",138205-N,N,"МЕТКИЙ, СНАЙПЕРСКИЙ"
,2657-N,N,РИСОВАЯ КРУПА
,102008-N,N,МОРДОВИЯ
"освидетельствовать, а также результат такого действия; осмотр с целью установления чего-либо, определения пригодности к чему-либо",147760-N,N,ОСВИДЕТЕЛЬСТВОВАНИЕ
"явление, обстоятельство, непосредственно порождающее, обусловливающее другое явление",106474-N,N,ПРИЧИНА ЯВЛЕНИЯ
,108783-N,N,ПРЯДЬ ВОЛОС
,126621-N,N,ЛИКБЕЗ (ОБУЧЕНИЕ)
,102513-N,N,САРАТОВСКАЯ ОБЛАСТЬ
,139147-N,N,ЗИМНИЙ МЕСЯЦ
,146502-N,N,ПРИОСТАНОВЛЕНИЕ ОПЕРАЦИЙ ПО СЧЕТУ
предприятие или здание с приспособлениями для размола зерна,5071-N,N,МУКОМОЛЬНОЕ ПРЕДПРИЯТИЕ
,152469-N,N,СКОРОСТЬ ВРАЩЕНИЯ
"точный набор инструкций, описывающих последовательность действий для достижения результата, решения задачи",5987-N,N,АЛГОРИТМ ПРОГРАММЫ
,149355-N,N,ПОЛОСА НА ПОВЕРХНОСТИ
,146277-N,N,ПЫЛЕУЛАВЛИВАЮЩЕЕ ОБОРУДОВАНИЕ
,150349-N,N,МОБИЛЬНЫЙ КОНТЕНТ
,120538-N,N,РЯБИНОВЫЙ ЦВЕТ
"вызванный внутренними причинами; необусловленный, самопроизвольный",119906-N,N,САМОПРОИЗВОЛЬНЫЙ
,139202-N,N,МЕЖБЮДЖЕТНЫЕ ОТНОШЕНИЯ
сигнал об опасности или чрезвычайном положении,113114-N,N,СИГНАЛ ТРЕВОГИ
,134838-N,N,БИОХИМИК
,123477-N,N,ПЕРСПЕКТИВА НА БУДУЩЕЕ
"совершающийся циклами, в виде повторяющихся циклов",122084-N,N,ЦИКЛИЧЕСКИЙ ПРОЦЕСС
,128646-N,N,РАЗЛЕЖИВАТЬСЯ БЕЗ ДЕЛА
член вооруженной террористической группировки,8831-N,N,УЧАСТНИК ВООРУЖЕННОГО ФОРМИРОВАНИЯ
,142981-N,N,РИВЬЕРА
,142191-N,N,ВЕЛИКАЯ ДЕПРЕССИЯ
раздирать на части,107416-N,N,"РВАТЬ, РАЗОРВАТЬ НА ЧАСТИ"
,101421-N,N,КРАСНОДАР
,118919-N,N,"БРЕЗГЛИВЫЙ, ГАДЛИВЫЙ"
,104552-N,N,ЛИМА
,101982-N,N,МОКША
,132097-N,N,"КУМОВСТВО, ПРОТЕКЦИОНИЗМ"
,131645-N,N,"ЗАДЕРЖАТЬ, ДЕЛАТЬ НЕ ВОВРЕМЯ"
"преисполненный прелести, очарования",118767-N,N,ПРЕЛЕСТНЫЙ
,8056-N,N,ЧЕРЕПНО-МОЗГОВАЯ ТРАВМА
,100235-N,N,СЛАВГОРОД
,3471-N,N,МЕДИЦИНСКАЯ ОПТИКА
,147831-N,N,ДЕПОЗИТНАЯ ОПЕРАЦИЯ
,129331-N,N,ТЮБИНГ  (КРЕПЛЕНИЯ)
,131740-N,N,ЛОНДОНЦЫ
,134241-N,N,МАКРОЭКОНОМИКА
,145943-N,N,ПАМЯТНИК ИСКУССТВА И КУЛЬТУРЫ
,135584-N,N,ЯДОВИТЫЙ ГАЗ
,117273-N,N,ЛОХМОТЬЯ
готовить пищу,109109-N,N,ПРИГОТОВЛЕНИЕ ПИЩИ
"доброе дело, услуга, помощь, покровительство",125447-N,N,БЛАГОДЕЯНИЕ (ДОБРОЕ ДЕЛО)
"категория имён и других значимых слов, указывающая на ассоциацию слова с существом того или иного пола",110585-N,N,ГРАММАТИЧЕСКИЙ РОД
,114427-N,N,ФАТАЛИЗМ
,120731-N,N,РОСА
,103170-N,N,АЛАТЫРЬ
,103894-N,N,ИНДИЯ
"мышечная ткань сердца, составляющая главную его массу",112166-N,N,МИОКАРД
"мужская особь человека, самец человека; лицо, противоположное женщине по полу",2453-N,N,"МУЖЧИНА, ЧЕЛОВЕК МУЖСКОГО ПОЛА"
,102476-N,N,СУБТРОПИКИ
"выражающий растерянность, смущение",119391-N,N,РАСТЕРЯННЫЙ
,105100-N,N,ХОККАЙДО
,4884-N,N,ТАБУН
,147301-N,N,МАЛОЛЕТНИЕ ДЕТИ
,125865-N,N,ГЕНИАЛЬНЫЙ ЧЕЛОВЕК
,8391-N,N,РУССКАЯ ПРАВОСЛАВНАЯ ЦЕРКОВЬ
,112763-N,N,ВЫШИВАНИЕ (РУКОДЕЛИЕ)
,143534-N,N,ТЕПЛОПРОВОДНОСТЬ
,151458-N,N,ДОРАДО (РЫБА)
,148649-N,N,КОНЕК КРЫШИ
"начать сильно крутиться; крутясь, прийти в сильное вращательное движение",141609-N,N,РАСКРУТИТЬСЯ (КРУТИТЬСЯ)
,108132-N,N,МЕСТО СОЕДИНЕНИЯ
"сильный и холодный северо-западный ветер, дующий иногда с Севенн на Средиземноморское побережье Франции",112170-N,N,МИСТРАЛЬ
,108179-N,N,ТАНЕЦ
,124410-N,N,ИНТЕРНАТУРА
,131380-N,N,ОКРУГЛАЯ ФОРМА
,5333-N,N,ЦЕЗИЙ
,125543-N,N,ВЕГЕТАТИВНАЯ НЕРВНАЯ СИСТЕМА
,109144-N,N,МАНТО
,134308-N,N,ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
,4360-N,N,ДОЧЬ
,138886-N,N,ПОРТЛЕНД
,5051-N,N,МЕХОВАЯ ОДЕЖДА
"в Древнем Риме — боец из рабов, военнопленных или вольных профессионалов, сражающийся на арене цирка с другими бойцами или с дикими зверями",130567-N,N,РИМСКИЙ ГЛАДИАТОР
,111972-N,N,ОБУВЩИК
"сохранять, сберегать в своём распоряжении, не выпускать",119157-N,N,"УДЕРЖАТЬ (СОХРАНИТЬ, СБЕРЕЧЬ)"
,143378-N,N,НАЛОГОВАЯ СЛУЖБА
,1517-N,N,НАЛОГОВАЯ СИСТЕМА
,105688-N,N,"ЛЕНИНСК, ВОЛГОГРАДСКАЯ ОБЛ."
,139818-N,N,ФЛОРА ОРГАНИЗМА
,5496-N,N,ТРАНЗИСТОР
,147980-N,N,ФИТОПРЕПАРАТ
"без слов, но очень выразительно передающий чувства или настроения",120475-N,N,КРАСНОРЕЧИВЫЙ (ВЫРАЗИТЕЛЬНЫЙ)
употребляемая в пищу плоть рыбы,1231-N,N,РЫБНАЯ ПРОДУКЦИЯ
,140628-N,N,СМОТР-КОНКУРС
старинная русская запряжка лошадей,129318-N,N,ТРОЙКА ЛОШАДЕЙ
,5224-N,N,АВИАЦИОННЫЙ ОТРЯД
,133771-N,N,ПОДВИЖНИК (ПРИВЕРЖЕНЕЦ)
"финский нож, короткий нож с толстым клинком",108657-N,N,ФИНКА (НОЖ)
,2394-N,N,ПРОЕКТИРОВЩИК
дать меньше положенного,137450-N,N,НЕДОДАТЬ
,137785-N,N,ВСПЫШКА СВЕТА
,4208-N,N,НОРМАТИВНО-ТЕХНИЧЕСКАЯ ДОКУМЕНТАЦИЯ
,142420-N,N,ОТБИВНАЯ КОТЛЕТА
"сооружение для захоронения вредных веществ, например отходов химического или ядерного производства",143316-N,N,ЗАЩИТНЫЙ САРКОФАГ
,4714-N,N,ГЕОГРАФИЧЕСКАЯ КООРДИНАТА
,106557-N,N,СОЕДИНИТЬ В ОДНО ЦЕЛОЕ
"тёмный силуэт, формируемый на освещённой поверхности загораживающим свет объектом",151239-N,N,ТЕНЬ НА ИЗОБРАЖЕНИИ
,102527-N,N,САЛЬСК
,735-N,N,ФЕДЕРАЛЬНЫЙ БЮДЖЕТ
внешняя твёрдая оболочка чего-либо,107072-N,N,КОРПУС ИЗДЕЛИЯ
,146264-N,N,ПЕРГАМЕНТНАЯ БУМАГА
"водитель грузовика, основным видом деятельности которого является транспортировка грузов на дальние расстояния",130745-N,N,ВОДИТЕЛЬ БОЛЬШЕГРУЗНОГО АВТОМОБИЛЯ
,142404-N,N,РОТВЕЙЛЕР
,8418-N,N,РУБРИКАТОР
"небольшая птица отряда стрижеобразных, с длинными острыми крыльями, позволяющими летать очень быстро",109341-N,N,СТРИЖ
,132805-N,N,СЛАБИТЕЛЬНОЕ
"новичок, неумелый человек, неспециалист в чём-либо",137978-N,N,"ЧАЙНИК, НОВИЧОК"
,1932-N,N,ВЕТЕРАН ВОЙНЫ
участник пикета,133700-N,N,ПИКЕТЧИК
"сильно возвышенная местность, большой холм",3484-N,N,ГОРА
,107401-N,N,ПЛАНКА (ПРЕДМЕТ)
,8941-N,N,МУСОРОПЕРЕРАБАТЫВАЮЩИЙ ЗАВОД
,121268-N,N,МОЧАЛКА
"крылатое, как правило, нелетающее насекомое одного из семейств отряда тараканообразных",107890-N,N,ТАРАКАН
,104537-N,N,КАРАЧИ
,9464-N,N,НЕВРОЛОГИЯ
"представитель одной из человеческих рас, отличающийся тёмным цветом кожи",122100-N,N,НЕГРЫ
,153217-N,N,ОСТРАЯ СТОРОНА
,124639-N,N,"РАССЛАБИТЬСЯ, СНЯТЬ НАПРЯЖЕНИЕ"
подрод вечнозелёных полукустарников семейства вересковых (брусничных),144201-N,N,КЛЮКВА (РАСТЕНИЕ)
,1001-N,N,АВАРИЯ
,142976-N,N,ЗЕРНО ПШЕНИЦЫ
,7387-N,N,НЕДОБРОСОВЕСТНАЯ КОНКУРЕНЦИЯ
,8514-N,N,ПСИХОТЕРАПЕВТ
,348-N,N,ОВОЩИ
неохотно вступающий в разговор,119918-N,N,"МОЛЧАЛИВЫЙ, НЕРАЗГОВОРЧИВЫЙ"
,5470-N,N,ГАУПТВАХТА
,104685-N,N,СЕНЕГАЛ (ГОС. АФРИКИ)
,316-N,N,ФЕДЕРАЛЬНАЯ СОБСТВЕННОСТЬ
,124198-N,N,АКСЕЛЕРОМЕТР
,111742-N,N,ИНТЕГРАЛ ФУНКЦИИ
"изъявить согласие, желание, снизойти на что-нибудь, соизволить",135134-N,N,"СОИЗВОЛИТЬ, СОБЛАГОВОЛИТЬ"
,132442-N,N,ЭЛЕКТРОКАР
,7416-N,N,ПРОТИВОПЕХОТНАЯ МИНА
нарушение целостности кости человека или животного,131727-N,N,"ПЕРЕЛОМ, МЕСТО ПЕРЕЛОМА"
,104501-N,N,ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ
"причинить вывих, сместить кости в суставе, затруднив или сделав невозможным их нормальную подвижность",125781-N,N,"ВЫВИХНУТЬ, СДЕЛАТЬ ВЫВИХ"
житель или уроженец Пакистана,130112-N,N,ПАКИСТАНЦЫ
,124586-N,N,СПОРТИВНЫЙ ТРЕК
приходить в состояние помрачения сознания,127188-N,N,"ОДУРЕТЬ, ОБАЛДЕТЬ"
"победить, одержать верх в борьбе, схватке, битве",115580-N,N,ПРЕОДОЛЕТЬ
,136786-N,N,ГОРОД ЛИПЕЦКОЙ ОБЛАСТИ
,8361-N,N,КЛЕВЕР
сотрудник милиции,136183-N,N,ПОЛИЦЕЙСКИЙ
священник в протестантской церкви,7366-N,N,ПАСТОР
,110789-N,N,ДЕТСКАЯ ИГРА
"склад оружия, боеприпасов или прочего военного снаряжения",8354-N,N,ВОИНСКИЙ СКЛАД
,2244-N,N,ПАКЕТ АКЦИЙ
,148455-N,N,РЕЧНОЙ ПЛЕС
